work_id,state,district,constituency,house,mp_id,mp_name,work_title,category,implementing_agency,vendor_id,vendor_name,recommendation_date,sanction_date,estimated_cost_inr,sor_benchmark_cost_inr,expenditure_incurred_inr,completion_pct,days_stalled,work_status,latitude,longitude,photo_phash,photo_exif_lat,photo_exif_lon,anomaly_label
WRK00001,Rajasthan,Jaipur,Jaipur Rural,LS,MP004,Sunita Devi,Water Supply at Jaipur Ward 18,Water Supply,District Panchayat,V002,Bharat Infra Works,2021-08-17,2021-10-13,2938665.9,3100000,2971285.57,100,0,Completed,26.926639,74.696334,37f8a88b17fc695a,26.926255,74.696498,NORMAL
WRK00002,Uttar Pradesh,Prayagraj,Lucknow West,LS,MP007,Vinod Tiwari,Drainage Works at Prayagraj Ward 13,Drainage Works,Municipal Corporation,V009,Heritage Contractors,2022-07-14,2022-07-24,1782534.87,1900000,0,0,0,Not Started,24.937786,80.311869,f50bea63371ecd7b,24.938165,80.311238,NORMAL
WRK00003,Rajasthan,Udaipur,Jaipur Rural,LS,MP004,Sunita Devi,Community Hall at Udaipur Ward 8,Community Hall,PWD,V020,Horizon Build Co,2021-02-02,2021-03-30,4147663.57,3800000,1371307.82,35,29,In Progress,26.974693,76.798761,3139d32c93cd59bf,26.974987,76.798029,NORMAL
WRK00004,Rajasthan,Jaipur,Jodhpur,LS,MP010,Kavita Joshi,Water Supply at Jaipur Ward 15,Water Supply,ZP,V003,National Build Corp,2023-01-22,2023-02-18,3709439.75,3100000,2307567.76,66,5,In Progress,24.508451,71.849405,2bcfbe01a28defe3,24.5085,71.849002,NORMAL
WRK00005,Assam,Silchar,Guwahati,LS,MP013,Bikash Barua,Sports Facility at Silchar Ward 29,Sports Facility,DRDA,V011,Anand Construction,2022-08-29,2022-10-27,3282461.24,3500000,0,0,0,Not Started,24.993287,89.902232,10f1bc81448aaa9e,24.992872,89.902934,NORMAL
WRK00006,Gujarat,Surat,Ahmedabad East,LS,MP011,Rameshwar Patel,Anganwadi Centre at Surat Ward 5,Anganwadi Centre,DRDA,V019,City Developers,2023-07-10,2023-07-29,2218156.07,2200000,2078399.21,100,0,Completed,22.682293,69.781546,956269f0e5d7b875,22.682148,69.781109,NORMAL
WRK00007,Telangana,Karimnagar,Secunderabad,LS,MP017,G. Krishna Reddy,Road Construction at Karimnagar Ward 24,Road Construction,PWD,V017,United Builders,2021-07-25,2021-08-13,3226476.02,2800000,2067372.98,74,19,In Progress,17.364639,81.782158,8da0365bf89897b9,17.365158,81.781422,NORMAL
WRK00008,Rajasthan,Ajmer,Jaipur Rural,LS,MP004,Sunita Devi,Water Supply at Ajmer Ward 21,Water Supply,ZP,V009,Heritage Contractors,2022-11-11,2022-11-28,3588062.43,3100000,3314378.17,100,0,Completed,23.023366,75.85441,2dbc2134c30ff46e,23.023377,75.853795,NORMAL
WRK00009,Rajasthan,Ajmer,Jodhpur,LS,MP010,Kavita Joshi,Library Building at Ajmer Ward 27,Library Building,PWD,V020,Horizon Build Co,2022-12-09,2023-02-05,3811214.21,4100000,3975191.56,100,0,Completed,29.641525,77.582743,04fc6d827d154385,29.640967,77.582516,NORMAL
WRK00010,Rajasthan,Jodhpur,Jodhpur,LS,MP010,Kavita Joshi,Road Construction at Jodhpur Ward 7,Road Construction,Municipal Corporation,V018,Prime Works Ltd,2021-05-27,2021-06-11,2649776.18,2800000,729455.38,28,24,In Progress,23.905476,75.305807,8715a10343dac043,23.906011,75.305686,NORMAL
